scenario,tasks,seed,algorithm,fitness,convergence_iteration,runtime_s,evaluation_budget
1,13,202623,PSO,0.2781318483209122,11,0.1090442000422626,416
1,13,202623,GA,0.2669473461751848,16,0.1238081000046804,416
1,13,202623,ACO,0.2566986675194302,19,0.1726518000941723,416
1,13,202623,DE,0.2770537052667264,17,0.0889664000133052,416
1,13,202624,IPSO,0.2634902074835678,21,0.0613950000843033,416
1,13,202624,PSO,0.2828360397424704,17,0.0565490999724715,416
1,13,202624,GA,0.2648306014481741,25,0.0676289000548422,416
1,13,202624,ACO,0.2744769218361018,16,0.1585910000139847,416
1,13,202624,DE,0.2687456501894213,15,0.0850240000290796,416
1,13,202625,IPSO,0.268113768630807,16,0.0667450999608263,416
1,13,202625,PSO,0.2698061919886067,25,0.0701383999548852,416
1,13,202625,GA,0.277187146957232,25,0.1079175999620929,416
1,13,202625,ACO,0.2639483822085954,16,0.1826893999241292,416
1,13,202625,DE,0.2878382348523842,25,0.0855498999590054,416
1,13,202626,IPSO,0.2531869122537465,22,0.0548762999242171,416
1,13,202626,PSO,0.2702192904439502,19,0.0852862999308854,416
1,13,202626,GA,0.2730020929197315,21,0.0617114000488072,416
1,13,202626,ACO,0.2705812850529968,13,0.1713835999835282,416
1,13,202626,DE,0.2857815292527428,21,0.0859226000029593,416
1,13,202627,IPSO,0.2718122894004257,25,0.0837184999836608,416
1,13,202627,PSO,0.265422264935264,17,0.1002912999829277,416
1,13,202627,GA,0.2620771911078914,25,0.1085517000174149,416
1,13,202627,ACO,0.2756652887740649,10,0.2220309000695124,416
1,13,202627,DE,0.2882682833996928,13,0.1099121000152081,416
1,13,202628,IPSO,0.2711761445779825,25,0.0885727000422775,416
1,13,202628,PSO,0.287421073564528,20,0.0897498000413179,416
1,13,202628,GA,0.2634822767576528,25,0.0929114000173285,416
1,13,202628,ACO,0.2867371703069762,17,0.2211475999793037,416
1,13,202628,DE,0.2950424234174701,25,0.1106566000962629,416
1,13,202629,IPSO,0.2610412290464613,25,0.0808094999520108,416
1,13,202629,PSO,0.2541556911580972,25,0.0895467000082135,416
1,13,202629,GA,0.2595512381688203,25,0.1146096000447869,416
1,13,202629,ACO,0.2549691191460302,15,0.2170539000071585,416
1,13,202629,DE,0.2889091312340472,11,0.1369013000512495,416
1,13,202630,IPSO,0.2877474761187417,25,0.0718593000201508,416
1,13,202630,PSO,0.2761510012384309,16,0.0992893999209627,416
1,13,202630,GA,0.2693716377135942,12,0.0865288999630138,416
1,13,202630,ACO,0.2771670245360115,13,0.2138873999938368,416
1,13,202630,DE,0.2884262668331907,15,0.0731101999990642,416
2,15,202601,IPSO,0.3021126238217165,20,0.0710518000414595,416
2,15,202601,PSO,0.266731147695761,25,0.0690195000497624,416
2,15,202601,GA,0.2904677560186898,25,0.0822269999189302,416
2,15,202601,ACO,0.2959998650707232,16,0.1735951999435201,416
2,15,202601,DE,0.3084636622164526,25,0.0830032000085339,416
2,15,202602,IPSO,0.2933103835969458,25,0.054114899947308,416
2,15,202602,PSO,0.2909987270631801,25,0.0605924000265076,416
2,15,202602,GA,0.2799558892206957,24,0.0713206999935209,416
2,15,202602,ACO,0.2714508594050027,22,0.2016296000219881,416
2,15,202602,DE,0.3049201369619299,25,0.0821145999943837,416
2,15,202603,IPSO,0.2918557508572719,13,0.0678126000566408,416
2,15,202603,PSO,0.2855390738884942,25,0.0621096000541001,416
2,15,202603,GA,0.2863106582277758,25,0.0599524000426754,416
2,15,202603,ACO,0.28249717033675,13,0.1798606000375002,416
2,15,202603,DE,0.3057463779647884,12,0.0733276999089866,416
2,15,202604,IPSO,0.2746293260282824,24,0.0551549999509006,416
2,15,202604,PSO,0.2922868102223125,25,0.0543847999069839,416
2,15,202604,GA,0.2790066880556111,25,0.0613964999793097,416
2,15,202604,ACO,0.2855754007381923,20,0.1625533000333234,416
2,15,202604,DE,0.2989261761672117,17,0.0774618999566882,416
2,15,202605,IPSO,0.2939995953332139,11,0.0814135000109672,416
2,15,202605,PSO,0.2830645539324668,16,0.063807199941948,416
2,15,202605,GA,0.2825605429099639,22,0.077808600035496,416
2,15,202605,ACO,0.2897352375915032,17,0.1728946000803262,416
2,15,202605,DE,0.3038178108805624,22,0.0731141000287607,416
2,15,202606,IPSO,0.2799667381651683,11,0.0629013999132439,416
2,15,202606,PSO,0.2928508640657543,24,0.0659534999867901,416
2,15,202606,GA,0.2848409525422843,25,0.0626233000075444,416
2,15,202606,ACO,0.2942259720658937,25,0.1956703999312594,416
2,15,202606,DE,0.3113364694163439,13,0.0746141000417992,416
2,15,202607,IPSO,0.3121157351578645,11,0.0523167999926954,416
2,15,202607,PSO,0.2839017158180122,25,0.0773075999459251,416
2,15,202607,GA,0.2995847233529865,20,0.0693605999695137,416
2,15,202607,ACO,0.2976027030306529,13,0.1840757000027224,416
2,15,202607,DE,0.2932628972359104,25,0.0814062000717967,416
2,15,202608,IPSO,0.3035102120204589,25,0.1150432999711483,416
2,15,202608,PSO,0.2844548864791973,25,0.1382328000618145,416
2,15,202608,GA,0.2915408382559183,19,0.0842367999721318,416
2,15,202608,ACO,0.2926115900843124,18,0.1863429000368341,416
2,15,202608,DE,0.2961031573438716,23,0.0845591999823227,416
2,15,202609,IPSO,0.2868546296443581,25,0.0654988000169396,416
2,15,202609,PSO,0.2973781362741243,25,0.1036959000630304,416
2,15,202609,GA,0.2915251220473355,25,0.1491379999788478,416
2,15,202609,ACO,0.291203985563925,17,0.2497342999558895,416
2,15,202609,DE,0.3047810721090254,19,0.1139758001081645,416
2,15,202610,IPSO,0.2903235752637423,25,0.106440500007011,416
2,15,202610,PSO,0.3030558306077247,25,0.0661766999401152,416
2,15,202610,GA,0.3014566797216805,24,0.100794699974358,416
2,15,202610,ACO,0.2853273727526534,17,0.2154875999549403,416
2,15,202610,DE,0.3106335633090021,13,0.1134141000220552,416
2,15,202611,IPSO,0.2870306559528632,15,0.0656814000103622,416
2,15,202611,PSO,0.279104331943571,16,0.053353999974206,416
2,15,202611,GA,0.2900729650549229,25,0.1048765999730676,416
2,15,202611,ACO,0.2788358663750869,16,0.2186436000047251,416
