scenario,tasks,algorithm,fitness_mean,fitness_sd,runtime_mean_s,runtime_sd_s,convergence_mean
8,28,GA,0.4505529154145805,0.0168331335010526,0.1417688199823411,0.0191952690168207,23.6
8,28,PSO,0.4614609503068635,0.013170656223285,0.1251616733187499,0.0148420023221589,23.3
9,29,ACO,0.4553486187840735,0.0134810960446669,0.441605706672029,0.0216633530531821,23.0
9,29,DE,0.5107507215118846,0.0121641702539089,0.1455100633320398,0.0097230093106218,19.53333333333333
9,29,IPSO,0.4669748745838992,0.006597381586554,0.1262645966683825,0.0093737683430893,20.0
9,29,GA,0.4699238562754594,0.0159277937357667,0.13297572665615,0.0125790843378235,23.73333333333333
9,29,PSO,0.4864831181554084,0.0172505234754036,0.1235424499958753,0.0128124623054742,23.466666666666665
10,31,ACO,0.4543250534593547,0.0139200490606039,0.387104443348168,0.1005923604171421,22.9
10,31,DE,0.48755042189915,0.0125001652032171,0.1244165599967042,0.0476011323424096,18.4
10,31,IPSO,0.4620890802116435,0.0088023587030714,0.119161510001868,0.0513264731222745,21.633333333333333
10,31,GA,0.4561785771496188,0.0136730938885161,0.1277632666751742,0.0587879952852583,24.666666666666668
10,31,PSO,0.4713397331755836,0.0138998992097009,0.1146579333348199,0.0452919960911182,23.3
11,32,ACO,0.5076661618203185,0.0135956866228798,0.4379372299920457,0.1076616192631942,22.9
11,32,DE,0.5448954141686883,0.0118476809564768,0.1517475966713391,0.0390945110962505,19.8
11,32,IPSO,0.5053464213953572,0.0084498072210376,0.1274581399979069,0.0448232787806755,16.766666666666666
11,32,GA,0.5076732885827691,0.0123261936973979,0.1263558633470287,0.0364629768261934,24.366666666666667
11,32,PSO,0.5344654978037671,0.0174047474281914,0.1269341833229797,0.0474308487346561,24.0
12,34,ACO,0.4937938420050113,0.0126744854089287,0.5715198300119179,0.0693852623086851,23.966666666666665
12,34,DE,0.5383222406295779,0.0128538433309604,0.1741170333349146,0.0275228161052832,19.5
12,34,IPSO,0.4826991950395204,0.0114066452931339,0.1499515933450311,0.0255273968976398,19.9
12,34,GA,0.498851091708306,0.0130341709347087,0.1601035933320721,0.0214722540029791,24.2
12,34,PSO,0.5201204832134202,0.0131668009997604,0.1499091966659761,0.0171774030969865,22.73333333333333
13,35,ACO,0.4917539538770548,0.0131407538420318,0.531187113339547,0.0354190464816912,23.53333333333333
13,35,DE,0.5546355784290048,0.0138250964212476,0.1599282100098207,0.012601456305115,19.3
13,35,IPSO,0.5006966567934462,0.0092373514091423,0.1443149866652675,0.0272607313088418,15.233333333333333
13,35,GA,0.5043013272595444,0.0142209080834412,0.1480199333357935,0.0152124975554698,24.8
13,35,PSO,0.5323118739273502,0.0117484261740532,0.1366339999833144,0.0115255992880174,23.866666666666667
14,37,ACO,0.5315453392644006,0.0156813576410969,0.5563879200063335,0.0212482632337136,23.766666666666666
14,37,DE,0.5861483480022799,0.0097599145567068,0.1612243399994137,0.0064185146207556,18.6
14,37,IPSO,0.5336519574197575,0.0074831835598428,0.1419935399899259,0.0099106639356946,16.833333333333332
14,37,GA,0.5382792332344296,0.0144477097266913,0.1519629599836965,0.0081730199723342,24.5
14,37,PSO,0.5692862535713501,0.0141793082821363,0.1384572133499508,0.0081180105742967,23.666666666666668
15,39,ACO,0.566222677815695,0.0159712438405161,0.6107302466717859,0.0465114827879736,24.166666666666668
15,39,DE,0.6292594348121398,0.0157628783262348,0.1784069800050929,0.0157901436009366,19.3
15,39,IPSO,0.6033970547856377,0.0121507860421524,0.1575280899841648,0.0156294135414827,17.033333333333335
15,39,GA,0.5834180167871726,0.0148985584107758,0.1635433699819259,0.0199848838126509,24.7
15,39,PSO,0.6052819756595152,0.0146101779105182,0.1518479400197975,0.0142634648655147,23.666666666666668
16,41,ACO,0.5745691472910679,0.0163941589929317,0.6071517266721155,0.0532087014780817,23.866666666666667
16,41,DE,0.6357858386822044,0.0139725026338816,0.1729619766663139,0.0194173040121525,21.666666666666668
16,41,IPSO,0.5822642601599604,0.0116456201099774,0.1502315233267533,0.0230458027838374,19.5
16,41,GA,0.5901631229643617,0.0113440081241252,0.1621463199883389,0.0198090046530804,24.766666666666666
